[2026-04-08 16:30:20] INFO     | trading.db             | Database ready at /Users/rishabhmaniyar/Downloads/trading_framework/data/trading.db
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FxCashBalance,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FxCashBalance,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,GrossPositionValue,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,GrossPositionValue-S,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,Guarantee,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,Guarantee-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,Guarantee-S,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,IncentiveCoupons,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,IncentiveCoupons-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,IncentiveCoupons-S,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,IndianStockHaircut,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,IndianStockHaircut-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,IndianStockHaircut-S,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,InitMarginReq,9228.75,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,InitMarginReq-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,InitMarginReq-S,9228.75,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,IssuerOptionValue,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,IssuerOptionValue,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,Leverage-S,0.00,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,LookAheadAvailableFunds,239045.10,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,LookAheadAvailableFunds-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,LookAheadAvailableFunds-S,239045.10,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,LookAheadExcessLiquidity,240266.19,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,LookAheadExcessLiquidity-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,LookAheadExcessLiquidity-S,240266.19,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,LookAheadInitMarginReq,6460.13,USD,DUM165609
